framework,module,file,kind,namespace,type,member,signature
RCore,Common,Assets\RCore\Main\Runtime\Common\RPlayerPrefs.cs,class,RCore,RPlayerPref,,public abstract class RPlayerPref
RCore,Common,Assets\RCore\Main\Runtime\Common\RPlayerPrefs.cs,class,RCore,RPlayerPrefBool,,public class RPlayerPrefBool : RPlayerPref
RCore,Common,Assets\RCore\Main\Runtime\Common\RPlayerPrefs.cs,class,RCore,RPlayerPrefInt,,public class RPlayerPrefInt : RPlayerPref
RCore,Common,Assets\RCore\Main\Runtime\Common\RPlayerPrefs.cs,class,RCore,RPlayerPrefFloat,,public class RPlayerPrefFloat : RPlayerPref
RCore,Common,Assets\RCore\Main\Runtime\Common\RPlayerPrefs.cs,class,RCore,RPlayerPrefDateTime,,public class RPlayerPrefDateTime : RPlayerPref
RCore,Common,Assets\RCore\Main\Runtime\Common\RPlayerPrefs.cs,class,RCore,RPlayerPrefString,,public class RPlayerPrefString : RPlayerPref
RCore,Common,Assets\RCore\Main\Runtime\Common\RPlayerPrefs.cs,class,RCore,RPlayerPrefList,,public class RPlayerPrefList<T> : RPlayerPref
RCore,Common,Assets\RCore\Main\Runtime\Common\RPlayerPrefs.cs,class,RCore,RPlayerPrefDict,,"public class RPlayerPrefDict<TKey, TVal> : RPlayerPref"
RCore,Common,Assets\RCore\Main\Runtime\Common\RPlayerPrefs.cs,class,RCore,RPlayerPrefObject,,public class RPlayerPrefObject<T> : RPlayerPref
RCore,Common,Assets\RCore\Main\Runtime\Common\RPlayerPrefs.cs,class,RCore,RPlayerPrefSerializableObject,,public class RPlayerPrefSerializableObject<T> : RPlayerPref
RCore,Common,Assets\RCore\Main\Runtime\Common\SceneLoader.cs,class,RCore,SceneLoader,,public class SceneLoader
RCore,Common/SerializableDictionary,Assets\RCore\Main\Runtime\Common\SerializableDictionary\SerializableDictionary.cs,class,RCore,SerializableDictionary,,"public class SerializableDictionary<TKey, TValue> : Dictionary<TKey, TValue>, ISerializationCallbackReceiver"
RCore,Common/SerializableDictionary,Assets\RCore\Main\Runtime\Common\SerializableDictionary\SerializableDictionary.cs,class,RCore,SerializedDictionary,,"public class SerializedDictionary<TypeKey, TypeValue> : SerializableKeyValue<TypeKey, TypeValue>"
RCore,Common/SerializableDictionary,Assets\RCore\Main\Runtime\Common\SerializableDictionary\SerializableDictionaryDrawer.cs,class,RCore,SerializableDictionaryDrawer,,public class SerializableDictionaryDrawer : PropertyDrawer
RCore,Common/SerializableDictionary,Assets\RCore\Main\Runtime\Common\SerializableDictionary\SerializableKeyValue.cs,class,RCore,SerializableKeyValue,,"public class SerializableKeyValue<TKey, TValue>"
RCore,Common/SerializableDictionary,Assets\RCore\Main\Runtime\Common\SerializableDictionary\SerializableKeyValueDrawer.cs,class,RCore.Editor,SerializableKeyValueDrawer,,public class SerializableKeyValueDrawer : PropertyDrawer
RCore,Common/SerializableDictionary,Assets\RCore\Main\Runtime\Common\SerializableDictionary\Wrappers.cs,class,RCore,UnityObjectWrapper,,public class UnityObjectWrapper<T> where T : class
RCore,Common/SerializableDictionary,Assets\RCore\Main\Runtime\Common\SerializableDictionary\Wrappers.cs,class,RCore,AssetReferenceWrapper,,public class AssetReferenceWrapper<T> where T : class
RCore,Common/Timer,Assets\RCore\Main\Runtime\Common\Timer\TimedAction.cs,class,RCore,TimedAction,,public class TimedAction
RCore,Common/Timer,Assets\RCore\Main\Runtime\Common\Timer\TimerEvents.cs,class,RCore,TimerEvents,,public class TimerEvents : MonoBehaviour
RCore,Common/Timer,Assets\RCore\Main\Runtime\Common\Timer\TimerEventsGlobal.cs,class,RCore,TimerEventsGlobal,,public class TimerEventsGlobal : TimerEvents
RCore,Common/Timer,Assets\RCore\Main\Runtime\Common\Timer\TimerEventsGroup.cs,class,RCore,CountdownEvent,,public class CountdownEvent
RCore,Common/Timer,Assets\RCore\Main\Runtime\Common\Timer\TimerEventsGroup.cs,class,RCore,ConditionEvent,,public class ConditionEvent
RCore,Common/Timer,Assets\RCore\Main\Runtime\Common\Timer\TimerEventsGroup.cs,class,RCore,DelayableEvent,,public class DelayableEvent
RCore,Common/Timer,Assets\RCore\Main\Runtime\Common\Timer\TimerEventsGroup.cs,class,RCore,CountdownEventsGroup,,public class CountdownEventsGroup
RCore,Common/Timer,Assets\RCore\Main\Runtime\Common\Timer\TimerEventsGroup.cs,class,RCore,ConditionEventsGroup,,public class ConditionEventsGroup
RCore,Common/Timer,Assets\RCore\Main\Runtime\Common\Timer\TimerEventsInScene.cs,class,RCore,TimerEventsInScene,,public class TimerEventsInScene : TimerEvents
RCore,Common,Assets\RCore\Main\Runtime\Common\Vector.cs,struct,RCore,RVector2,,public struct RVector2 : IEquatable<RVector2>
RCore,Common,Assets\RCore\Main\Runtime\Common\Vector.cs,struct,RCore,RVector2Int,,public struct RVector2Int : IEquatable<RVector2Int>
RCore,Common,Assets\RCore\Main\Runtime\Common\Vector.cs,struct,RCore,RVector3,,public struct RVector3 : IEquatable<RVector3>
RCore,Common,Assets\RCore\Main\Runtime\Common\Vector.cs,struct,RCore,RVector3Int,,public struct RVector3Int : IEquatable<RVector3Int>
RCore,Common,Assets\RCore\Main\Runtime\Common\Vector.cs,struct,RCore,RVector4,,public struct RVector4 : IEquatable<RVector4>
RCore,Common/VFX,Assets\RCore\Main\Runtime\Common\VFX\CFX_Component.cs,class,RCore,CFX_Component,,public abstract class CFX_Component : MonoBehaviour
RCore,Common/VFX,Assets\RCore\Main\Runtime\Common\VFX\CFX_ParticleComponent.cs,class,RCore,CFX_ParticleComponent,,public class CFX_ParticleComponent : CFX_Component
RCore,Common/VFX,Assets\RCore\Main\Runtime\Common\VFX\CFX_ParticleComponent.cs,class,RCore,CFX_ParticleComponentEditor,,public class CFX_ParticleComponentEditor : UnityEditor.Editor
RCore,Common,Assets\RCore\Main\Runtime\Common\YesNoNone.cs,enum,RCore,YesNoNone,,public enum YesNoNone
RCore,Common,Assets\RCore\Main\Runtime\Common\YesNoNone.cs,enum,RCore,PerfectRatio,,public enum PerfectRatio
RCore,Common,Assets\RCore\Main\Runtime\Common\YesNoNone.cs,enum,RCore,UIPivot,,public enum UIPivot
RCore,Common,Assets\RCore\Main\Runtime\Common\YesNoNone.cs,enum,RCore,TapFeedback,,public enum TapFeedback
RCore,Configuration.cs,Assets\RCore\Main\Runtime\Configuration.cs,class,RCore,Configuration,,public class Configuration : ScriptableObject
RCore,Configuration.cs,Assets\RCore\Main\Runtime\Configuration.cs,class,RCore,Env,,public class Env
RCore,Configuration.cs,Assets\RCore\Main\Runtime\Configuration.cs,class,RCore,Directive,,public class Directive
RCore,Data/Common,Assets\RCore\Main\Runtime\Data\Common\BinaryDataSaver.cs,class,RCore.Data,BinaryDataSaver,,public static class BinaryDataSaver
RCore,Data,Assets\RCore\Main\Runtime\Data\ConfigCollection.cs,class,RCore.Data,ConfigCollection,,public abstract class ConfigCollection : ScriptableObject
RCore,Data,Assets\RCore\Main\Runtime\Data\ConfigCollection.cs,class,RCore.Data,ConfigCollectionEditor,,public class ConfigCollectionEditor : Sirenix.OdinInspector.Editor.OdinEditor
RCore,Data,Assets\RCore\Main\Runtime\Data\ConfigCollection.cs,class,RCore.Data,ConfigCollectionEditor,,public class ConfigCollectionEditor : UnityEditor.Editor
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\IJObjectHandler.cs,interface,RCore.Data.JObject,IJObjectHandler,,public interface IJObjectHandler
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\InjectAttribute.cs,class,RCore.Data.JObject,InjectAttribute,,public class InjectAttribute : Attribute { }
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectData.cs,interface,RCore.Data.JObject,IJObjectData,,public interface IJObjectData
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectData.cs,class,RCore.Data.JObject,JObjectData,,public abstract class JObjectData : IJObjectData
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectDataCollection.cs,class,RCore.Data.JObject,JObjectDataCollection,,public class JObjectDataCollection : ScriptableObject
RCore,Data/JObjectDB,Assets\RCore\Main\Runtime\Data\JObjectDB\JObjectDataCollection.cs,class,RCore.Data.JObject,JObjectDataCollectionEditor,,public class JObjectDataCollectionEditor : Sirenix.OdinInspector.Editor.OdinEditor
